29.09.2023,20:00,Ratinger Ice Aliens,,9,:,1,,,EHC Troisdorf
01.10.2023,19:00,EC Bergisch Land,,1,:,8,,,Ratinger Ice Aliens
06.10.2023,20:00,Ratinger Ice Aliens,,10,:,1,,,EHC Troisdorf
08.10.2023,17:15,TuS Wiehl,,6,:,4,,,EC Bergisch Land
13.10.2023,20:00,Ratinger Ice Aliens,,8,:,0,,,TuS Wiehl
13.10.2023,20:00,Eisadler Dortmund,,13,:,3,,,EC Bergisch Land
13.10.2023,20:15,EHC Troisdorf,,0,:,4,,,Neusser EV
15.10.2023,17:15,TuS Wiehl,,3,:,6,,,ESV Bergisch Gladbach
n.n.,n.n.,Neusser EV,,-,:,-,,,Eisadler Dortmund
20.10.2023,20:15,ESV Bergisch Gladbach,,4,:,1,,,Neusser EV
20.10.2023,20:30,EC Bergisch Land,,5,:,3,,,EHC Troisdorf
22.10.2023,18:00,Ratinger Ice Aliens,,5,:,2,,,Neusser EV
22.10.2023,19:00,EC Bergisch Land,,1,:,2,OT,,TuS Wiehl
22.10.2023,19:00,Eisadler Dortmund,,8,:,4,,,EHC Troisdorf
27.10.2023,20:15,EHC Troisdorf,,0,:,8,,,ESV Bergisch Gladbach
27.10.2023,20:30,EC Bergisch Land,,1,:,0,,,Neusser EV
29.10.2023,17:15,TuS Wiehl,,1,:,6,,,Eisadler Dortmund
29.10.2023,19:30,ESV Bergisch Gladbach,,2,:,3,,,Ratinger Ice Aliens
03.11.2023,20:30,EC Bergisch Land,,1,:,5,,,ESV Bergisch Gladbach
05.11.2023,18:00,Ratinger Ice Aliens,,3,:,4,,,Eisadler Dortmund
05.11.2023,19:30,ESV Bergisch Gladbach,,0,STRAFVERIFIZIERT,5,,,TuS Wiehl
n.n.,n.n.,Neusser EV,,-,:,-,,,EHC Troisdorf
10.11.2023,20:00,Eisadler Dortmund,,4,:,3,OT,,TuS Wiehl
10.11.2023,20:00,Neusser EV,,4,:,5,,,ESV Bergisch Gladbach
10.11.2023,20:15,EHC Troisdorf,,3,:,1,,,EC Bergisch Land
12.11.2023,17:15,TuS Wiehl,,1,:,5,,,Ratinger Ice Aliens
17.11.2023,20:00,Neusser EV,,4,:,2,,,TuS Wiehl
17.11.2023,20:00,Eisadler Dortmund,,4,:,3,OT,,Ratinger Ice Aliens
17.11.2023,20:15,ESV Bergisch Gladbach,,16,:,0,,,EC Bergisch Land
19.11.2023,17:15,TuS Wiehl,,7,:,2,,,EHC Troisdorf
19.11.2023,18:00,Ratinger Ice Aliens,,13,:,1,,,EC Bergisch Land
24.11.2023,20:15,EHC Troisdorf,,0,:,8,,,Ratinger Ice Aliens
24.11.2023,20:30,EC Bergisch Land,,1,:,9,,,Eisadler Dortmund
26.11.2023,18:00,Ratinger Ice Aliens,,5,:,2,,,TuS Wiehl
26.11.2023,19:00,Eisadler Dortmund,,4,:,9,,,ESV Bergisch Gladbach
26.11.2023,20:00,Neusser EV,,3,:,2,,,EC Bergisch Land
01.12.2023,20:00,Eisadler Dortmund,,6,:,0,,,Neusser EV
01.12.2023,20:15,ESV Bergisch Gladbach,,7,:,1,,,EHC Troisdorf
01.12.2023,20:30,EC Bergisch Land,,2,:,7,,,TuS Wiehl
03.12.2023,17:15,TuS Wiehl,,5,:,1,,,Neusser EV
08.12.2023,20:15,EHC Troisdorf,,0,:,6,,,Neusser EV
